complaint_id,product,sub_product,issue,sub_issue,state,company,date_received,complaint_what_happened,escalated,labeler_notes
7199713,Debt collection,Other debt,False statements or representation,Attempted to collect wrong amount,DC,T.S. Holdings,2023-07-03T19:28:20.000Z,"On XX/XX/XXXX I contacted XXXX XXXX XXXX Department to receive clarification on a rental balance from XXXX at XXXX XXXX XXXX. While speaking with the representative he mentioned there was a balance of XXXX for XXXX XXXX under XXXX XXXX, no account number was available for this account or other information and was instructed to XXXX the management company for contact information. Immediately I searched the web and found XXXX XXXX contact information. I made the phone call to XXXX XXXX on XX/XX/XXXX and was directed to contact via email XXXX and collection agency XXXX XXXX. Once I called XXXXIQ data that day with the balance reported to XXXX XXXX XXXX XXXX XXXX my name apartment location and year they werent able to locate me and said they will call me back. I then sent an email requesting information on balance and account number. I received a reply back from XXXX stating he had no account number but a balance of XXXX, which was different than XXXX  data. On XX/XX/XXXX I contacted XXXX /IQ data to inquiry on my previous call and gave the balance and my social security number, the year and name of the Apartments. The representative stated he had found the account with that balance, stated if I paid in full I can receive a deletion letter, I asked if there were any settlements available on the debt, he mentioned no and could assist with a hardship application that could help with services to assist me in the balance but I wouldnt receive a deletion letter. I was told the account didnt go to a collections company. He then told me in order to get the deletion letter I will have to pay XXXX I asked him how did the cost go up he said it was taxes and interest. I said I will call back and he attempted to keep me on the phone implyingI wouldnt want to end the call like this. It will be perceived as I dont want to pay the debt. I have nothing in writing from this company, the numbers arent accurate, thats why my attempts have been made to contact them as I am aware of money owed when I moved out in XXXX. There are to many discrepancies in the balance and unfairness and I am asking for this account to be deleted from my rental profile. The call was getting uncomfortable so and I hung up. He wanted to conduct a hardship application over the phone, then implied it would change anything. Just give me resources, I have never encountered or heard anything like this.",,
10291867,Debt collection,Private student loan debt,Written notification about debt,Didn't receive enough information to verify debt,TN,IQOR US INC,2024-10-01T00:51:24.000Z,"I mailed a debt validation letter on XX/XX/year> to Allied Interstate, LLC. I asked them to provide proof that I owed the debt and proof that they are the correct company to pay. They did not provide the documents requested. Instead they have continued to send me debt collection documents.",,
6388118,Debt collection,Auto debt,Attempts to collect debt not owed,Debt is not yours,PA,CAPITAL ONE FINANCIAL CORPORATION,2023-01-02T20:56:11.000Z,,,
6390449,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was result of identity theft,FL,"Lockhart, Morris & Montgomery Inc.",2023-01-03T23:09:49.000Z,This happened in XXXX My back pack was stolen from my car I didnt see the person face I got off my car to get some coffee when I returned to the parking lot my window was broken Unfortunately last year my XXXX XXXX XXXX XXXX XXXX  with my XXXX was stolen too Please Im begging you to clear this off my credit report,,
9400323,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,TX,TRANSWORLD SYSTEMS INC,2024-07-01T17:31:09.000Z,There is an outstanding amount owed for a debt that is not mine. The name of the company is called Transworld Systems. This is fraud. We have talked to Transworld Systems and they should be sending a fraud packet.,,
7646794,Debt collection,Medical debt,False statements or representation,Attempted to collect wrong amount,VT,"Overton, Russell, Doerr and Donovan, LLP",2023-10-01T19:00:14.000Z,"I just received this collection of debt on XX/XX/23. Although, I did go to the XXXX XXXX  ( XXXX XXXX XXXX ) during those dates ( XX/XX/23 ) I never received any carethey only drew XXXX  from me and XXXX  were performed. I was never omitted into the XXXX XXXX. I waited in a waiting room for an hour and then gave up and instead went to a different hospital where I received care immediately and have paid them. 

I had a very XXXXXXXX XXXXy and could have had a XXXX at any moment. This could have resulted in my XXXX. The bill from that hospital ( SVMC ), where I received care for several hours, is almost the same as this bill! How does that make any sense? 

I was hammered with a {$950.00} XXXX XXXX XXXX from XXXX XXXX. for just walking in the door and sitting in a waiting room. I have no issues paying the labs ( although, I was never given the results ). 

The collections agency that sent me the bill is : XXXX XXXX XXXX, located in XXXX XXXX, NY XXXX. 

I never received the original bills from XXXX XXXX because they used an old address for me. I still followed up through their billing portal, updated my address and noticed there was no amount due. At that point, I thought the matter was settled since I never saw a Doctor.",,
14395194,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,NY,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2025-07-01T12:48:14.000Z,,,
6383960,Debt collection,Medical debt,Written notification about debt,Didn't receive notice of right to dispute,FL,The Law Offices of Mitchell D. Bluhm & Associates,2023-01-02T02:41:14.000Z,,,
8093142,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,IL,Kohn Law Firm S.C.,2024-01-02T23:35:14.000Z,"Kohn Law Firm S.C. placed an adverse entry onto my various credit reports. Kohn claimed to have purchased a debt owed to XXXX, although the age and amount of the alleged debt was wrong. I disputed the entry and Kohn responded by making changed, which were still not correct. Please sanction this debt collector for its fraudulent reporting to XXXX, XXXX or XXXX & bad faith demands for payment, which violate debt collection laws.",,
8087356,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,CA,"EQUIFAX, INC.",2024-01-02T03:28:44.000Z,"I hope this letter finds you well. I am writing to bring to your attention a matter concerning my credit report. I recently obtained a copy of my credit report and noticed that there are late payments listed on my account. After reviewing the details, I have come to the realization that these late payments are inaccuracies and do not reflect my actual payment history. 

I understand the importance of an accurate credit report and how it affects my overall creditworthiness. I am writing to formally request the immediate removal of these late payments from my credit report. I believe this action is necessary to ensure the accuracy of my credit history and to maintain a fair representation of my financial responsibility. 

XXXX XXXX XXXX XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX XXXX XXXX XXXX customer service representative. 

XXXX XXXX XXXX XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX XXXX XXXX XXXX customer service representative. 

I would like to highlight that these late payments are not a result of negligence on my part, but rather a mistake or error in reporting. I have consistently been diligent in making timely payments, and these late payments do not align with my financial behavior. 
XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX customer service representative XXXX 

I understand the importance of staying informed about my financial transactions and responsibilities. However, it appears that due to the minimal balance in my account, statements were not generated or sent to me during the specified period. 

I would like to request your assistance in providing me with the missing statements for the mentioned period. Understanding the details of my account activity is crucial for me to manage my finances responsibly. If there are any fees associated with the generation or retrieval of these statements, please inform me in advance. 
I trust this letter finds you well. I am writing to you with regards to my recent discovery of late payments reported on my credit file, specifically related to my account with XXXX XXXX XXXX XXXX Upon reviewing my credit report, I noticed that late payments were recorded during a specific period, and I believe these were a result of a unique circumstance. 

XXXX XXXX XXXX XXXX XXXX Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX XXXX XXXX customer service representative XXXX 

I would like to provide context for these late payments. During the mentioned period, I did not receive my regular account statements from XXXX XXXX XXXX XXXX After investigating the matter, I learned that the lack of statements was attributed to a very small balance in my account during that specific time frame. 

I fully understand the importance of maintaining a positive credit history, and I take responsibility for any oversights in managing my account. However, the late payments occurred due to circumstances beyond my control, namely the absence of statements that would have alerted me to any outstanding balances. 

I trust this letter finds you well. I am writing to inform you of a recent resolution with my bank, XXXX XXXX XXXX, regarding an internal issue that has affected the reporting of my account status. I would like to request your assistance in updating my credit report accordingly. 
XXXXXXXX XXXX XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX XXXX XXXX customer service representative. 

I recently discovered that there was an internal issue within XXXX XXXX XXXX that led to an incorrect reporting of my account status on my credit report. Despite my consistent and timely payments, the report currently reflects inaccuracies that may have negatively impacted my credit score. 

After addressing this matter with XXXX XXXX XXXX, I am pleased to report that they have acknowledged the internal issue and have agreed to update my account status to reflect that it has always been open and never late. I kindly request that you update my credit report accordingly to accurately reflect the positive standing of my account. 

Enclosed with this letter, you will find supporting documentation from XXXX XXXX XXXX, confirming their acknowledgment of the internal issue and their commitment to rectifying the reporting inaccuracies. 
XXXXXXXX XXXX XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXX XXXX XXXX customer service representative. 

I would like to provide clarification regarding the status of my account during a specific period. Due to unforeseen financial challenges, I entered into a forbearance agreement with XXXX XXXX XXXX to temporarily suspend payments on my account. I am pleased to inform you that XXXXXXXX XXXX XXXX and I reached a mutual agreement during this forbearance period, wherein it was agreed that there would be no negative reporting to credit bureaus. 

I kindly request that you update my credit report to accurately reflect the agreed-upon terms during the forbearance period. There should be no indication of negative activity or any reporting that could adversely affect my credit score for that specific timeframe. 

Enclosed with this letter, please find documentation from XXXXXXXX XXXX XXXX confirming the forbearance agreement and the commitment not to report any negativity during this period. 

I understand the importance of maintaining an accurate credit report, and I appreciate your prompt attention to this matter. Your cooperation in updating my credit report will ensure that my credit history accurately represents the terms agreed upon during the forbearance period. 
I trust this letter finds you well. I am writing to bring to your attention a recent resolution regarding an internal issue with my bank, XXXXXXXXDEPT OF ED that has affected the reporting of my account status on my credit report. I kindly request your assistance in updating this information to accurately reflect the true status of my account. 

XXXXXXXX/DEPT OF ED XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or XXXXDEPT OF ED customer service representative XXXX 

Upon careful review of my credit report, I noticed discrepancies in the reporting of my account status. I would like to provide clarification on this matter. Due to an internal issue within XXXXDEPT OF ED, my account status was inaccurately reported, suggesting that it was not open or that payments were late. 

After addressing this matter with XXXXDEPT OF ED, I am pleased to report that they have acknowledged the internal issue and have agreed to update my account status to reflect that it has always been open and never late. I kindly request that you update my credit report accordingly to accurately reflect the positive standing of my account. 

Enclosed with this letter, you will find supporting documentation from XXXX/DEPT OF ED, confirming their acknowledgment of the internal issue and their commitment to rectifying the reporting inaccuracies. 

I understand the importance of maintaining an accurate credit report, and I appreciate your prompt attention to this matter. Your cooperation in updating my credit report will ensure that my credit history is a true representation of my financial responsibility. 

I kindly request that you notify me in writing once the necessary corrections have been made to my credit report. If you require any additional information, please do not hesitate to contact me. 

Thank you for your understanding and assistance in resolving this matter.",,
6387522,Debt collection,Credit card debt,False statements or representation,"Impersonated attorney, law enforcement, or government official",NV,Patenaude & Felix A Professional Corporation,2023-01-02T23:15:10.000Z,"Patenaude and Felix APC Isa debt collector for XXXX XXXX. During the pandemic my account went to collections. My wife and I had a joint account. Patenaude and Felix sent garnishment letters from XXXX to XXXX. They began my wages weekly in XX/XX/XXXX. My wife contacted them to resolve her issue or put blame me. My wife and I are separated and not speaking with each other. Patenaude and Felix APC sent legal documents to my payroll department at the XXXX XXXX XXXX in XX/XX/XXXX. My name is the only name mentioned on a joint account with my wife XXXX XXXX. ( Credit card ending XXXX ) The garnishment is weekly between {$99.00} to {$110.00}. My wages at the is XXXX hourly. What Justice would approve garnishment of my wages? I think it maybe a scam. The garnishment totals $ XXXX monthly. There's many scammer 's out there. My apartment complex make fraudulent charges too. 

*Please cancel my current complaint XXXX. It was entered incorrectly. My apologies.",,
14398009,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,MS,Experian Information Solutions Inc.,2025-07-01T03:25:31.000Z,"I am writing to formally lodge a complaint against multiple furnishers and credit bureaus whose failure to report accurate information has severely harmed my life and financial stability. These errors, omissions, and misleading credit entries have not only interfered with my ability to work, rent, and build credit XXXX. XXXX XXXX - Date Opened : XX/XX/XXXX - Charge-Off Balance : {$130.00} - Last Payment : XX/XX/XXXX - Issue : This account continues to show monthly "" CO '' charge-off notations through XX/XX/XXXX despite no new payment activity. This suggests improper re-aging and inaccurate data. 
- Impact : I was denied approval for employment with XXXX and XXXX due to my credit screening showing persistent, unresolved delinquency. The reporting undermines my efforts to work legally and earn an incomethis has direct criminal justice implications for those attempting financial rehabilitation through legitimate work. 

-- - XXXX. XXXX XXXXXXXX XXXX - Date Opened : XX/XX/XXXX - Charge-Off Balance : {$610.00} - Last Payment Made : XX/XX/XXXX - Issue : This account has been closed since XX/XX/XXXX, yet it continues to report charged-off updates through XX/XX/XXXX. 
- Impact : The lingering balance and mixed remarks ( "" XXXX '', "" XXXX '' ) mislead reviewers and have blocked me from opening a secured bank account. I was also denied for local rental housing due to this active-looking derogatory debt, causing housing insecurity and further stress. 

-- - XXXX. XXXXXXXX XXXX XXXX / XXXX - XXXX : {$1800.00} and {$3200.00} - Status : Deferred - Issue : Despite valid federal deferment under the CARES Act, late payments and "" DRC/PDE '' remarks continue to be shown. These are false and should have been reported as current per federal law. 
- Impact : These incorrect lates have dragged down my credit score, reducing eligibility for income-based repayment plans and future educational financing. This undermines my right to rehabilitation through education and has even led to rejection by some employers requiring a clean financial record for federal work. 

-- - XXXX. XXXX XXXX - Date Closed : XX/XX/XXXX - Reported Balance : {$0.00} - Issue : XXXX is reporting the account as Paid, Closed yet still indicates XXXX  days past due, contradicting its actual status. 
- Impact : A mere {$0.00} balance tagged with a XXXX delinquency renders my credit profile misleading and hostile to lenders, blocking me from accessing even basic tools to rebuild financial wellness. This affects my ability to support dependents and access low-limit credit rebuilders. 

-- - XXXX. XXXX XXXX - Balance : {$380.00} - Original Creditor : XXXX XXXX XXXX XXXX XXXX- Date Placed for Collection : XXXX - Issue : I have disputed this debt repeatedly and XXXX has failed to produce validation. The reporting continues as PLACED FOR COLLECTION. 
- Impact : Ive been denied employment, denied apartment applications, and told I must pay this unvalidated debt before being reconsidered for approval. Their failure to mark this tradeline as disputed violates FDCPA and misrepresents my legal position. 

-- - XXXX. XXXX XXXX XXXX- Balance : {$270.00} - Original Creditor : XXXX XXXX XXXX - Issue : Marked disputed but continues to report monthly without verification.Impact : XXXX false portrayal of this debtand their refusal to remove outdated datahas negatively affected my job prospects in rideshare apps and credit-based background checks, causing severe disruptions in my income stream. Broader Harm and Request for Relief These inaccurate tradelines have created a cascade of denials and degradation of opportunity : - Ive been denied employment, housing, credit accounts, and legal income routes. 
- Ive faced loss of livelihood, limited ability to access secure housing, and repeated reputational harm due to false or unverifiable credit entries. 
- Attempts to resolve these issues via direct dispute, written requests, and certified mail have gone ignored or rejected. 

The combined result is persistent harm, both financial and emotional, that continues despite my good faith efforts to comply with all laws and procedures. I now turn to the CFPB for help compelling these furnishers and reporting agencies to comply with the Fair Credit Reporting Act, FDCPA, and applicable protections under federal and Mississippi law.",,
10302045,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,OH,"National Credit Adjusters, LLC",2024-10-01T07:04:52.000Z,,,
7198430,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,IN,Resurgent Capital Services L.P.,2023-07-04T01:39:23.000Z,,,
18404505,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,TX,ENCORE CAPITAL GROUP INC.,2026-01-01T16:56:38.000Z,"Help my rights are being violated, 15 U.S.C. 1692g ( b ) of the FDCPA requires debt collectors to cease collection activities and provide proper validation of the debt when requested in writing within 30 days of initial contact. The accounts Ive referenced are not 100 % accurate. Until you provide competent evidence that validates the debt including a signed agreement, full account history, and verification of your authority to collect you must cease all collection efforts and remove the information from my credit report.",,
20843553,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,AR,"CAINE & WEINER COMPANY, INC.",2026-04-01T13:59:28.000Z,CAINE WEINER is falsely reporting on my credit. I have never had any accounts with them. Per my research CAINE WEINER is a debt collector. They are falsely reporting on my credit!! Account number is # XXXX is falsely reporting to my credit file and is against my rights and fair credit act. Under U.S Code 1618d - Disclosure of investigation consumer report ; you are in violation.,,
7628267,Debt collection,Other debt,Written notification about debt,Didn't receive enough information to verify debt,MI,"CCS Financial Services, Inc.",2023-10-01T20:49:31.000Z,,,
8086643,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,WI,"Halsted Financial Services, LLC.",2024-01-01T14:28:49.000Z,"Halsted Financial is trying to not only collect a debt that I do not owe, they're contacting my family members about it as well. This is a clear violation of the CFPB 's policies as I am not a minor and a violation of my family 's privacy as well as mine.",,
12762240,Debt collection,I do not know,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,FL,Experian Information Solutions Inc.,2025-04-01T15:31:24.000Z,,,
7630493,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was paid,NJ,Resurgent Capital Services L.P.,2023-10-02T15:38:12.000Z,,,
20830219,Debt collection,Rental debt,Communication tactics,"Used obscene, profane, or other abusive language",IL,"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",2026-04-01T00:18:22.000Z,,,
7628179,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,PA,AVANTE,2023-10-02T17:04:56.000Z,,,
14382861,Debt collection,I do not know,Electronic communications,Frequent or repeated messages,FL,"National Enterprise Systems, Inc.",2025-07-01T00:36:07.000Z,"On XXXX XXXX XXXX, I received a text message from National Enterprise Systems ( NES ) saying I had been subscribed to their debt notification service. Then on XXXX XXXX XXXX I received another text about a XXXX XXXXXXXX account for someone named XXXX XXXX XXXX. 

I am not XXXX XXXX XXXX and have no relationship to the alleged debt. I did not authorize these messages and never gave consent to be contacted by NES. The texts appear to have been sent by an automated system. 

These contacts violate the Telephone Consumer Protection Act ( TCPA ) and the Fair Debt Collection Practices Act ( FDCPA ), as I was not the intended party and did not opt in. I am requesting permanent removal of my number and compensation for these unauthorized messages.",,
7185470,Debt collection,I do not know,Communication tactics,"You told them to stop contacting you, but they keep trying",FL,LANIER COLLECTIONS AGENCY AND SERVICES INC,2023-07-01T16:02:34.000Z,,,
7624208,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,OH,Experian Information Solutions Inc.,2023-10-01T20:08:00.000Z,"XXXX XXXX XXXX XXXX ( Incorrect account please validate ) And delete XXXX XXXX  late payment XXXX XXXX XXXX XXXX ( Incorrectly reported please delete ) XXXX  XXXX late payment XX/XX/XXXX incorrectly reported. ( Account no longer open please delete ) Account has been removed from XXXX XXXX  remove from all other credit reporting XXXX late payment XX/XX/XXXX accountclosed late payment inaccurate has been removed from ( XXXX XXXX ) Please remove from all other credit reporting XXXX XXXX account was fraudulently charged/ ( The accounts has also been charged off ) please delete XXXX Late payment incorrect reporting account is paid as agreed please update and And correct XXXX XXXX ( account was charged fraudulently identity theft ) please delete. 

XXXX XXXX XXXX XXXX ( Account was fraudulently charged due to identity theft please remove and delete ) XXXX XXXX  ( account was fraudulently charged due to Identity theft. Account also is a third party and not validated ) please remove and delete XXXX XXXX XXXX Consumer has agreement with XXXX XXXX XXXX  To extend the payment due date XXXX XXXX XXXX XXXX XXXX late payment is invalid please correct.",,
6788142,Debt collection,Other debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,DE,"Kriya Capital, LLC",2023-04-03T18:17:42.000Z,"Today XXXX I received an email from one of credit card companies stating that I received a negative credit score. Upon investigation I found that XXXX sent my info to collections with credence resource management for {$880.00}. I never had XXXX and this is a result of identity theft. I tried calling Credence and they said the last digit of my SS number was wrong and they arent able to provide me with any information. This is the third time credence has gone above and beyond to affect my credit report. In XXXX, I believe the XXXX, I had to file identity theft when credence dealing with att filed a debt collection on me.",,
18401748,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,TX,"National Credit Adjusters, LLC",2026-01-01T12:08:43.000Z,,,
7198004,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,VA,Resurgent Capital Services L.P.,2023-07-04T01:16:00.000Z,,,
6788716,Debt collection,Credit card debt,False statements or representation,Attempted to collect wrong amount,IN,ENCORE CAPITAL GROUP INC.,2023-04-03T16:14:08.000Z,"This company started contacting me in XXXX in which they would call multiple times a day 4-6 at least on various numbers on everyday of the week. Their phone calls left me in tears on numerous actions due to the never ending harassment despite attempting to resolve the matter. Thus sending me in emotional distress due to their manipulative practices. I informed them that I lost my job due to the federal shut downs of COVID as the tanning salon I worked at was closed due to Governor XXXX mandate. Additionally leading to the store closing therefore I was on a limited income and could not consent to a payment plan at the time. They were relentless in their harassment. They contacted my grandfather XXXX XXXX as well as my XXXX XXXX XXXX various times as well revealing my debt owed and attempting to solicit my information. They were informed multiple times to stop calling by both my grandfather and aunt as the matter did not relate to them. They coerced me into a payment plan threatening to sue me if I did not consent to a payment plan. They would claim the accounts were in different departments transferring me numerous times leading to hour long phone calls trying to resolve the matter. Despite suggesting in their mailed communications and on their website that they will work out budget repayment plans and work around hardships this has been quite the contrary. They forced me into a payment for two accounts beginning in XX/XX/XXXX in which they received payments from me until XX/XX/XXXX. The are falsely reporting my balance to the credit unions which is impacting my credit score preventing me from finding some where to live. They are also falsifying the balance in a claim to XXXX XXXX XXXX XXXX. I had a starting balance on account Midland Credit Management XXXX XXXX XXXX XXXX  of {$810.00} however I have made payments from XXXX and the balance should be at {$360.00}. I have another Midland Credit Management account # XXXX the balance started at {$1400.00} however there were payments made from XXXX and the balance should have been reduced to {$860.00}. I have attempted to communicate with employees such as XXXX XXXX and XXXX at midland as well as countless others who have been complete rude, belittling, and deceptive. They attempted to deny the multiple payments despite myself previously receiving payment plan contracts in email and paper coupled with my bank records showing their payments were taken out. This company falsely claims to work to resolve the debt yet they do not reduce the amount report to credit unions and try to pursue legal actions despite receiving payments. This combined with the never ending harassment of myself and my family members is completely unacceptable and a violation of protection laws. This company is the only company I have issued resolving my debt with. I have filed a dispute with the credit reporting agencies regarding my credit report. I am concerned that the company will continue to harass me and pursue legal action despite my attempts to resolve the debt. Even if I pay them the full amount I am concerned they will attempt to falsify information and continue this harassment as this has been going on for 3 years the company still is not telling the truth, falsely reporting balances, and harassing me by means of fear through threats to sue me. The company falsely suggests consumers can work through their website however no contact information can be updated. When payment plans are updated through the portal the following payment ends up not being pulled despite a confirmation popping up. They falsely state on the phone and through mail communications that their website may be used to manage the account however it does not list all of the payments that are made and while having a tab for Mcm documents there are never any files uploaded for receipts of payment, communications between debt collector/consumer, etc. in attempt to hide if the consumer did in fact attempt to resolve the debt. The only documents listed on their site are from the original creditor this making it appear as if the consumer never attempted to resolve the account. XXXX XXXX XXXX informed me as well that to dispute the balance I would have to cancel any payment plans therefore leaving it to appear as if I have not paid or am not attempting to resolve the debt.",,
6787940,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,CA,"Professional Debt Mediation, Inc.",2023-04-03T18:04:37.000Z,"They call me one day on the phone in XX/XX/XXXX and said I owe {$9200.00} they said it was a rent bill from XXXX of XXXX. I told them thatXXXX I had never receive any information from that company say that I owe this money No email, No phone Call. So I ask them to let check on the amount they was saying I owe and she said ok and the next day it was reporting to my credit report .They did not work with me they did not give no time to check out, gather paper work or to work out a solution with them at all I feel my right was very VIOLATED by this company",,
14394892,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,FL,Kikoff Inc.,2025-07-01T13:38:01.000Z,,,
7201168,Debt collection,Other debt,Written notification about debt,Didn't receive notice of right to dispute,SC,"I.C. System, Inc.",2023-07-03T11:37:43.000Z,I C System INC. violated my right to privacy as well as violated the FDCPA 1006.30a and its rule by parking an alleged debt on my consumer report.,,
20829702,Debt collection,Other debt,Written notification about debt,Didn't receive enough information to verify debt,AL,CL Holdings LLC,2026-04-01T00:21:27.000Z,,,
7197752,Debt collection,Auto debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,CA,Mercedes Benz Financial Services,2023-07-04T01:17:08.000Z,"I have never done business with this company. I owe this company nothing. 5 U.S. Code $ 1681c-2 a consumer reporting agency shall block the reporting of any information in the file of a consumer that the consumer identifies as information that resulted from an alleged identity theft, not later than 4 business days after the date of receipt.

It has been 30 days and you are in VIOLATION of this law because I am a victim of identity theft!! Please delete these items IMMEDIATELY!

These accounts should not be furnished on my consumer report as they are in VIOLATION!!! under, 15 U.S Code 1681b - Permissible purposes of consumer reports ( a ) IN GENERAL Subject to subsection ( c ) any consumer reporting agency may furnish a consumer report under the following circumstances and no other : ( 2 ) In accordance with the WRITTEN INSTRUCTION of the consumer to whom it relates. I NEVER gave any consumer reporting agency WRITTEN CONSENT to report anything on my consumer report which violates my rights as a federal protected consumer. NO CONSENT IS IDENTITY THEFT. As a consumer l am demanding the deletion of the accounts listed IMMEDIATELY!",,
10309294,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,GA,SECURITY FINANCE CORP,2024-10-01T15:22:41.000Z,"This debt collector has done unjustifiable practices of the FDCPA which it prohibits. They furnished this account that we didn't agree upon and I didn't sign an agreement on. A legal contract is signed by XXXX parties and I did not participate in any of it. they didn't follow the proper XXXX validation procedure. According to the FDCPA, Im entitled to compensation for these violations and clearly, they violated my rights and abused my privileges. I demand this account be taken off immediately.",,
18399533,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,TX,United Revenue Corporation,2026-01-01T04:11:31.000Z,,,
8671662,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,LA,"Transfinancial Companies, Inc",2024-04-01T21:00:08.000Z,,,
18406438,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,FL,OneMain Finance Corporation,2026-01-01T19:14:21.000Z,"To Whom It May Concern, I am writing to formally dispute and demand the immediate deletion of a credit inquiry made by your company that appears on my consumer credit report. This inquiry was not authorized by me and is the result of identity theft and theft by deception. 
I am a documented victim of identity theft. Enclosed with this correspondence is a police report filed with the XXXX County Police Department ( XXXX # XXXX ), which establishes criminal misuse of my personal and financial information. This letter constitutes formal notice under the Fair Credit Reporting Act ( FCRA ). 

FRAUDULENT CREDIT INQUIRY DETAILS FOURSIGHT CA XX/XX/year> TransUnion LEGAL BASIS FOR DELETION Under FCRA 604 ( 15 U.S.C. 1681b ), a company may access a consumers credit report only if it has a valid permissible purpose. I did not apply for credit, authorize access, or conduct business with your company.

Further, under FCRA 605B ( 15 U.S.C. 1681c-2 ), consumer reporting agencies and furnishers are required to block and delete information resulting from identity theft once a valid identity theft report is provided. 

Because this inquiry was made without my authorization and is connected to identity theft, it lacks permissible purpose and is unlawfully reported. 
DEMAND I am demanding the following actions : 1. Immediate deletion of the unauthorized inquiry listed above 2. Written confirmation that the inquiry has been permanently removed 3. No re-insertion or re-reporting of this inquiry Please be advised that this matter has also been reported to the Consumer Financial Protection Bureau ( CFPB ). Failure to comply will result in further escalation and documentation of non-compliance. 

I expect written confirmation of deletion within the timeframes required by federal law.",,
14406516,Debt collection,I do not know,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,AZ,"EQUIFAX, INC.",2025-07-01T11:31:22.000Z,,,
16279512,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,NC,"National Credit Systems,Inc.",2025-10-01T01:59:02.000Z,,,
11344687,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,TX,TekCollect Inc.,2025-01-01T17:04:47.000Z,,,
7202001,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,TX,"ONLINE Information Services, Inc.",2023-07-03T15:57:07.000Z,,,
7625055,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,IL,"Convergent Resources, Inc.",2023-10-02T19:17:19.000Z,,,
7627901,Debt collection,I do not know,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,FL,"I.C. System, Inc.",2023-10-01T22:06:20.000Z,,,
6783068,Debt collection,Medical debt,False statements or representation,Attempted to collect wrong amount,TN,"W&A Intermediate Co., LLC",2023-04-01T13:25:46.000Z,,,
7622798,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,TX,"Bread Financial Holdings, Inc.",2023-10-02T23:24:16.000Z,,,
