complaint_id,product,sub_product,issue,sub_issue,state,company,date_received,complaint_what_happened,escalated,labeler_notes
10311828,Debt collection,Telecommunications debt,Attempts to collect debt not owed,Debt was result of identity theft,SC,Radius Global Solutions LLC,2024-10-01T13:25:52.000Z,"This is the fourth or fifth time a collection agency has contacted me about owing this amount. This has already been disputed in the past for the previous attempts. I do not how know how they are able to do this. This seems very illegal. The name of this collection agency is Radius Global Solutions and their number listed is ( XXXX ) XXXX. The amount they are trying to collect is for {$1500.00}. Again this has been an ongoing attempt every year but they keep getting disputed. Once they are disputed they sell my information to the next collection agency. I do not know how to prevent them to stop selling my information. You would think they got the hint with all the other attempts that this is fraud due to identity theft. The frustrating part is that my credit score keeps going down to the XXXX every time this happens. Once disputed, my credit score does not return to it original score. I keep losing XXXX points every time this happens. I was almost at XXXX and after the past 4 times of this happening, I am close to XXXX. When calling the number, these guys are impossible to deal with because they just care about the debt being paid. They do not care if it is identity theft they just automatically keep asking "" how would you like for this? '' PLEASE HELP ME!!!!!",,
20837574,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,TX,"Southwest Credit Systems, L.P.",2026-04-01T07:38:18.000Z,,,
6768448,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,NY,"Spring Oaks Capital, LLC",2023-04-02T22:00:43.000Z,,,
7635186,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,FL,CAPITAL ONE FINANCIAL CORPORATION,2023-10-03T14:42:37.000Z,"XXXX XXXX XXXX along with account XXXX XXXXXXXX were opened as a result of identity theft. My information was stolen and used without my permission. I brought this to the attention of CapitalOne, however they are still attempting to collect this debt and illegally reporting it it the credit bureaus. Please see attachment.",,
20834883,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,CA,"Sentry Recovery and Collections, Inc.",2026-04-01T04:32:37.000Z,"Debt is being reported on my credit report. It was disputed in XX/XX/year> and removed as it was fraudulent. XXXX XXXX XXXX tried to charge me for a parking ticket that was not mine ( acquired outside of my rental contract dates ). Now the debt record has reappeared. 

Debt collector is SENTRY RECOVERY AND CO XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, NV XXXX and creditor is XXXX XXXX XXXX XXXX XXXX",,
12760781,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was result of identity theft,MO,"M.A.R.S., Inc.",2025-04-01T13:15:56.000Z,"To Whom It May Concern, I recently reviewed my credit reports and was shocked to find a collection account from XXXX XXXX XXXX for what is purported to be a XXXX XXXX Apartments debt. I am formally disputing this collection, as I do not recognize the debt and have no recollection of ever having this account. Furthermore, I have never received any communicationwhether by phone, text, email, or mailregarding this alleged debt. This includes the Dunning letter that is required to notify a consumer of a collection. The lack of prior notification has raised significant concerns regarding the validity and accuracy of this account. Due to this erroneous reporting, I have encountered difficulties securing credit, which is now directly impacting my ability to obtain a home loan.",,
7627674,Debt collection,I do not know,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,NC,ENCORE CAPITAL GROUP INC.,2023-10-01T19:00:13.000Z,,,
6387231,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,ID,ENCORE CAPITAL GROUP INC.,2023-01-03T01:29:57.000Z,"I have been contacted multiple times about a supposed debt I am not familiar with. I have sent a certified letter requesting further information about the debt, and about their ability to collect a debt within my state with no response. I spoke to a staff member with them, who said they would send this information, and all that was sent was a single statement from the supposed creditor, and no further information. It was threatened that they would be suing me for the money, but I am not comfortable with the amount of information I have.",,
11339957,Debt collection,Rental debt,Attempts to collect debt not owed,Debt was result of identity theft,GA,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2025-01-01T18:24:06.000Z,,,
18403183,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,SC,Lendmark Financial Services,2026-01-01T15:07:57.000Z,,,
